1, Ascot,13:15,Best Odds On The Betfair Exchange Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),2m 7f 118y,(Class 3) (4YO plus),"Winner 9,849",Good to Soft,17
2, Ascot,13:50,Ebony Horse Club Reynoldstown Novices' Chase (Grade 2) (GBB Race),2m 7f 180y,(Class 1) (5YO plus),"Winner 42,712",Good to Soft,5
3, Ascot,14:25,Betfair Exchange Handicap Hurdle (GBB Race),2m 3f 58y,(Class 2) (4YO plus),"Winner 26,015",Good to Soft,14
4, Ascot,15:00,Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race),2m 7f 180y,(Class 1) (5YO plus),"Winner 56,950",Good to Soft,11
5, Ascot,15:37,Betfair Ascot Chase (Grade 1) (GBB Race),2m 5f 8y,(Class 1) (5YO plus),"Winner 99,662",Good to Soft,6
6, Ascot,16:10,Betfair Racing Podcasts Novices' Hurdle (GBB Race),2m 3f 58y,(Class 2) (5YO plus),"Winner 13,008",Good to Soft,6
7, Ascot,16:45,Betfair Mares' Open NH Flat Race (GBB Race),1m 7f 152y,(Class 2) (4YO to 6YO),"Winner 8,986",Good to Soft,10
8, Haydock,12:55,Pertemps Network Handicap Hurdle (GBB Race),3m 58y,(Class 2) (5YO plus),"Winner 16,338",Good to Soft,14
9, Haydock,13:28,Victor Ludorum Juvenile Hurdle (GBB Race),1m 7f 144y,(Class 2) (4YO only),"Winner 13,615",Good to Soft,5
10, Haydock,14:05,Unibet Middle Distance Chase Series Veterans' Handicap Chase,2m 3f 203y,(Class 3) (10YO plus),"Winner 10,562",Good to Soft,6
11, Haydock,14:40,WKD Rendlesham Hurdle (Grade 2) (GBB Race),3m 58y,(Class 1) (5YO plus),"Winner 34,170",Good to Soft,8
12, Haydock,15:15,Oddschecker Grand National Trial Handicap Chase (Premier Handicap) (GBB Race),3m 4f 97y,(Class 1) (5YO plus),"Winner 56,950",Good to Soft,10
13, Haydock,15:50,Albert Bartlett Prestige Novices' Hurdle (Grade 2) (GBB Race),3m 58y,(Class 1) (5YO plus),"Winner 39,865",Good to Soft,9
14, Haydock,16:25,Walrus Open Hunters' Chase,2m 6f 54y,(Class 3) (5YO plus),"Winner 8,469",Good to Soft,8
15, Newcastle,16:20,Weekly 5 Free Bet With BetUK Handicap,2m 56y,(Class 5) (4YO plus),"Winner 3,716",Standard  (AW - Tapeta),8
16, Newcastle,16:55,Gamble Responsibly At BetUK Handicap,1m 4f 98y,(Class 5) (4YO plus),"Winner 3,716",Standard  (AW - Tapeta),10
17, Newcastle,17:25,BetUK: It's Where The UK Bets Restricted Maiden Stakes (GBB Race),6f,(Class 5) (3YO to 5YO),"Winner 3,942",Standard  (AW - Tapeta),11
18, Newcastle,17:55,BetMGM: It's Showtime Restricted Novice Stakes (GBB Race),7f 14y,(Class 4) (3YO to 5YO),"Winner 5,670",Standard  (AW - Tapeta),4
19, Newcastle,18:25,Best Odds Guaranteed At BetMGM Handicap,1m 5y,(Class 4) (4YO plus),"Winner 4,972",Standard  (AW - Tapeta),5
20, Newcastle,18:55,Free Bets With BetUK Bet Club Handicap,6f,(Class 4) (4YO plus),"Winner 4,972",Standard  (AW - Tapeta),12
21, Newcastle,19:25,Win 1M With BetMGM's Golden Goals Apprentice Handicap,7f 14y,(Class 6) (4YO plus),"Winner 4,711",Standard  (AW - Tapeta),10
22, Southwell,16:05,30 In Free Bets With BetUK Amateur Jockeys' Handicap,6f 16y,(Class 6) (4YO plus),"Winner 2,980",Standard  (AW - Tapeta),11
23, Southwell,16:40,Weekly Free Bets With BetMGM Extra Handicap (Div 1),1m 13y,(Class 6) (3YO only),"Winner 4,711",Standard  (AW - Tapeta),8
24, Southwell,17:10,Weekly Free Bets With BetMGM Extra Handicap (Div 2),1m 13y,(Class 6) (3YO only),"Winner 4,711",Standard  (AW - Tapeta),8
25, Southwell,17:40,BetMGM: It's Showtime Fillies' Handicap,7f 14y,(Class 4) (4YO plus),"Winner 4,972",Standard  (AW - Tapeta),8
26, Southwell,18:10,Gamble Responsibly At BetUK Novice Stakes (GBB Race),6f 16y,(Class 4) (3YO plus),"Winner 5,670",Standard  (AW - Tapeta),5
27, Southwell,18:40,Boost Your Acca At BetMGM Handicap,6f 16y,(Class 5) (3YO only),"Winner 3,659",Standard  (AW - Tapeta),10
28, Southwell,19:10,Extra Winnings With BetUK Acca Club Handicap,4f 214y,(Class 6) (4YO plus),"Winner 3,140",Standard  (AW - Tapeta),9
29, Southwell,19:40,BetUK. It's Where The UK Bets Handicap,1m 3f 23y,(Class 6) (4YO plus),"Winner 3,140",Standard  (AW - Tapeta),7
30, Wincanton,13:03,BetMGM Premier League Darts Conditional Jockeys' Handicap Hurdle,2m 5f 82y,(Class 5) (4YO plus),"Winner 3,697",Good to Soft,10
31, Wincanton,13:36,BetMGM Kingwell Hurdle (Grade 2) (GBB Race),1m 7f 50y,(Class 1) (4YO plus),"Winner 41,608",Good to Soft,4
32, Wincanton,14:15,No One's As Vegas As BetMGM Handicap Chase (GBB Race),2m 4f 35y,(Class 4) (5YO plus),"Winner 5,413",Good to Soft,6
33, Wincanton,14:50,BetMGM King Of The Golden Oche 'National Hunt' Maiden Hurdle (GBB Race),1m 7f 50y,(Class 4) (4YO plus),"Winner 3,697",Good to Soft,15
34, Wincanton,15:25,BetMGM Who Wants A Nine-Darter Handicap Chase (GBB Race),1m 7f 149y,(Class 4) (5YO plus),"Winner 5,413",Good to Soft,6
35, Wincanton,16:00,Bet 10 Get 40 With BetMGM Handicap Chase (GBB Race),3m 1f 30y,(Class 4) (5YO plus),"Winner 5,413",Good to Soft,7
36, Wincanton,16:35,Gamble Responsibly At BetMGM Novices' Handicap Hurdle (GBB Race),3m 150y,(Class 4) (4YO plus),"Winner 4,489",Good to Soft,10
37, Gowran Park (IRE),13:20,Sea Moon & Jukebox Jury At Burgage Stud Maiden Hurdle,2m,(4YO only),"Winner eu7,200",Soft,16
38, Gowran Park (IRE),13:55,Red Mills Trial Hurdle (Grade 3),2m,(Class 1) (5YO plus),"Winner eu22,500",Soft,6
39, Gowran Park (IRE),14:30,Albert Bartlett Triple Crown Series At Punchestown Festival 2025 Qualifier Handicap Hurdle,2m 3f 180y,(4YO plus),"Winner eu9,000",Soft,20
40, Gowran Park (IRE),15:05,Red Mills Chase (Grade 2),2m 4f,(Class 1) (5YO plus),"Winner eu27,000",Soft,3
41, Gowran Park (IRE),15:42,QuinnBet Beginners Chase,2m 4f,(5YO plus),"Winner eu7,500",Soft,11
42, Gowran Park (IRE),16:15,O'Driscolls Irish Whiskey Careys Cottage Cup Handicap Chase,2m 4f,(5YO plus),"Winner eu9,600",Soft,13
43, Gowran Park (IRE),16:50,Ronan Lawlor Memorial Irish EBF Mares (Pro/Am) Flat Race,2m 1f,(4YO plus),"Winner eu6,601",Soft,14
